,dataset,black_box,accuracy_model,bb,mean_length,std_length,size
0,adult,dnn,1.0,0.8807001381851681,11.76595744680851,3.6667729795142225,752
1,adult,dnn,1.0,0.8807001381851681,11.76595744680851,3.6667729795142225,752
2,adult,dnn,0.9963150621833257,0.8807001381851681,11.76595744680851,3.6667729795142225,752
3,adult,rf,0.9590050667894979,1.0,11.31974921630094,4.327279358392694,638
4,adult,rf,0.9590050667894979,1.0,11.31974921630094,4.327279358392694,638
5,adult,rf,0.9319821894672194,1.0,11.31974921630094,4.327279358392694,638
6,adult,svm,0.8753262705358513,1.0,10.085354025218235,3.601445022760966,2062
7,adult,svm,0.8753262705358513,1.0,10.085354025218235,3.601445022760966,2062
8,adult,svm,0.8165208045447566,1.0,10.085354025218235,3.601445022760966,2062
9,compas,dnn,0.0,1.0,5.615606936416185,1.7134926324820843,692
10,compas,dnn,0.0,1.0,5.615606936416185,1.7134926324820843,692
11,compas,dnn,0.0,1.0,5.615606936416185,1.7134926324820843,692
12,compas,rf,0.8957095709570957,1.0,4.674846625766871,1.2768992138157247,326
13,compas,rf,0.8957095709570957,1.0,4.674846625766871,1.2768992138157247,326
14,compas,rf,0.8924092409240925,1.0,4.674846625766871,1.2768992138157247,326
15,compas,svm,0.8594059405940594,1.0,4.078189300411522,0.9718558109368765,486
16,compas,svm,0.8594059405940594,1.0,4.078189300411522,0.9718558109368765,486
17,compas,svm,0.833003300330033,1.0,4.078189300411522,0.9718558109368765,486
18,german,rf,0.8133333333333334,1.0,4.296296296296297,1.382826274266257,54
19,german,rf,0.8133333333333334,1.0,4.296296296296297,1.382826274266257,54
20,german,rf,0.87,1.0,4.296296296296297,1.382826274266257,54
21,diva,rf,0.848,1.0,10.018181818181818,4.390724006388409,660
22,diva,rf,0.848,1.0,10.018181818181818,4.390724006388409,660
23,diva,rf,0.794,1.0,10.018181818181818,4.390724006388409,660
